id,selling_date,vehicle_type,transmission_type,fuel_type,repaired,seller,brand,odometer,horse_power,manufactured_date,price
45,2011-04-01 12:51:37,sedan,Manual,diesel,,520,audi,"150,000km",163,2000,"48,840,000 Rwf"
46,2011-03-12 05:03:00,van,Manual,gasoline,Yes,692,volkswagen,"150,000km",204,1996,0 Rwf
47,2011-03-24 22:56:04,sedan,Automatic,gasoline,,753,volkswagen,"30,000km",122,2008,"217,080,000 Rwf"
48,2011-03-21 15:49:37,compact car,Manual,gasoline,,302,volkswagen,"30,000km",60,1990,"228,000 Rwf"
49,2011-04-04 16:40:59,station wagon,Manual,diesel,,867,nissan,"125,000km",126,1997,"12,948,000 Rwf"
50,2011-03-14 15:36:35,compact car,Manual,gasoline,Yes,21,ford,"150,000km",75,1994,"240,000 Rwf"
51,2011-04-03 14:49:09,sedan,Manual,gasoline,,948,audi,"100,000km",160,2004,"133,080,000 Rwf"
52,2011-04-03 13:57:28,sedan,Manual,diesel,,166,skoda,"150,000km",163,1999,"25,080,000 Rwf"
53,2011-03-20 02:02:00,SUV,Automatic,diesel,,865,mercedes_benz,"150,000km",163,2000,"120,000,000 Rwf"
54,2011-04-03 18:57:17,van,Manual,gasoline,Yes,600,subaru,"150,000km",54,1990,"12,598,800 Rwf"
55,2011-03-09 10:42:44,sedan,Manual,gasoline,,954,peugeot,"125,000km",174,2004,"84,900,000 Rwf"
56,2011-03-19 19:47:07,SUV,Manual,diesel,,965,sonstige_autos,"60,000km",141,2003,"60,480,000 Rwf"
57,2011-04-01 09:54:58,sedan,Manual,gasoline,,304,mercedes_benz,"150,000km",163,1997,"24,720,000 Rwf"
58,2011-04-01 00:46:44,station wagon,Automatic,diesel,,146,audi,"50,000km",177,2008,"349,140,000 Rwf"
59,2011-03-31 15:52:58,sedan,,gasoline,,963,skoda,"90,000km",0,1990,"180,000 Rwf"
60,2011-03-28 19:53:51,station wagon,Manual,gasoline,,214,opel,"150,000km",75,1992,"958,800 Rwf"
61,2011-03-22 23:59:28,compact car,Manual,gasoline,,342,ford,"20,000km",75,1991,0 Rwf
62,2011-03-17 07:57:07,compact car,Manual,gasoline,Yes,102,volkswagen,"125,000km",60,1991,"600,000 Rwf"
63,2011-03-20 12:45:01,SUV,Automatic,diesel,,525,sonstige_autos,"150,000km",163,2000,"48,598,800 Rwf"
64,2011-04-01 13:56:00,van,Manual,diesel,,101,volkswagen,"150,000km",102,1993,"37,140,000 Rwf"
65,2011-03-07 18:45:47,van,Automatic,gasoline,,969,volkswagen,"30,000km",0,2007,"277,080,000 Rwf"
66,2011-04-04 23:53:52,compact car,Manual,,,124,peugeot,"150,000km",60,1994,"598,800 Rwf"
67,2011-03-25 00:56:03,station wagon,Manual,diesel,,609,mercedes_benz,"150,000km",136,2005,"144,480,000 Rwf"
68,2011-03-30 21:54:12,SUV,Manual,diesel,Yes,453,volkswagen,"150,000km",239,2003,"132,000,000 Rwf"
69,2011-03-28 10:54:23,compact car,Manual,gasoline,,136,fiat,"125,000km",95,2004,"49,080,000 Rwf"
70,2011-03-08 17:43:32,sedan,Automatic,diesel,,33,mercedes_benz,"125,000km",170,2006,"253,150,800 Rwf"
71,2011-03-17 14:38:23,compact car,Manual,gasoline,,227,fiat,"100,000km",55,1994,"1,068,000 Rwf"
72,2011-03-19 15:48:21,Other,,,,190,sonstige_autos,"20,000km",0,1967,"156,960,000 Rwf"
73,2011-03-13 16:22:15,compact car,Manual,,,330,volkswagen,"150,000km",75,1992,"540,000 Rwf"
74,2011-03-26 21:25:23,van,Manual,diesel,,300,volkswagen,"150,000km",136,1998,"48,838,800 Rwf"
75,2011-03-30 23:45:05,compact car,Manual,gasoline,,677,peugeot,"150,000km",0,1994,"840,000 Rwf"
76,2011-04-04 23:56:50,compact car,Manual,gasoline,,894,peugeot,"100,000km",73,2004,"48,588,000 Rwf"
77,2011-03-19 14:43:52,station wagon,Manual,gasoline,,889,toyota,"125,000km",129,2002,"84,478,800 Rwf"
78,2011-03-07 05:39:55,station wagon,Manual,diesel,,460,ford,"150,000km",0,1998,"1,198,800 Rwf"
79,2011-03-07 17:45:19,compact car,Manual,gasoline,,356,fiat,"125,000km",103,1998,"24,780,000 Rwf"
80,2011-04-03 11:43:27,compact car,Manual,gasoline,,297,fiat,"125,000km",95,2001,"36,360,000 Rwf"
81,2011-03-22 17:54:07,,Manual,,,153,bmw,"150,000km",102,1991,"13,140,000 Rwf"
82,2011-04-05 10:36:24,,Manual,,Yes,887,volkswagen,"20,000km",64,2012,"1,065,600 Rwf"
83,2011-03-12 08:54:25,sedan,Manual,,,626,renault,"150,000km",0,1994,"12,180,000 Rwf"
84,2011-03-30 12:43:45,convertible,Automatic,gasoline,,358,opel,"80,000km",90,1999,"48,960,000 Rwf"
85,2011-04-03 10:56:10,compact car,Automatic,gasoline,,350,peugeot,"150,000km",68,2002,"36,000,000 Rwf"
86,2011-03-24 18:52:30,station wagon,,gasoline,,410,fiat,"150,000km",0,1993,"240,000 Rwf"
87,2011-04-06 15:06:36,station wagon,Manual,diesel,,30,opel,"150,000km",125,1998,"25,140,000 Rwf"
88,2011-03-14 15:57:01,van,Automatic,diesel,,108,volkswagen,"150,000km",140,2008,"180,000,000 Rwf"
89,2011-04-01 10:36:44,compact car,,gasoline,,536,ford,"80,000km",0,2004,"48,600,000 Rwf"
90,2011-03-06 11:47:42,compact car,Manual,gasoline,,837,opel,"150,000km",45,1990,"180,000 Rwf"
91,2011-03-27 15:58:44,convertible,Manual,gasoline,,381,opel,"100,000km",75,1991,"12,720,000 Rwf"
92,2011-03-28 19:48:02,compact car,Manual,diesel,,213,ford,"150,000km",68,2000,"36,180,000 Rwf"
93,2011-03-24 11:44:04,van,Manual,diesel,,332,volkswagen,"10,000km",140,2010,"385,140,000 Rwf"
94,2011-03-05 16:56:22,,,,,806,fiat,"150,000km",0,2011,0 Rwf
95,2011-03-15 21:42:36,station wagon,Automatic,gasoline,,863,mercedes_benz,"150,000km",0,1998,"96,600,000 Rwf"
96,2011-04-04 00:36:45,station wagon,Automatic,diesel,,541,audi,"125,000km",245,2007,"289,068,000 Rwf"
97,2011-03-31 13:54:30,sedan,Manual,gasoline,,306,peugeot,"150,000km",75,1998,"13,198,800 Rwf"
98,2011-03-08 22:57:53,station wagon,Manual,gasoline,Yes,858,volkswagen,"150,000km",0,1993,0 Rwf
99,2011-03-07 02:36:53,sedan,Automatic,diesel,,164,volkswagen,"150,000km",239,2004,"181,078,800 Rwf"
100,2011-03-05 14:27:31,station wagon,Manual,gasoline,,152,volkswagen,"150,000km",75,1989,"12,540,000 Rwf"
101,2011-04-03 20:50:38,,Manual,,,470,volkswagen,"150,000km",131,2011,"48,300,000 Rwf"
102,2011-03-12 21:56:42,station wagon,Manual,diesel,,363,ford,"150,000km",90,1996,"24,540,000 Rwf"
103,2011-03-21 17:06:24,sedan,Manual,gasoline,Yes,299,audi,"150,000km",90,1990,"420,000 Rwf"
104,2011-03-08 00:57:53,station wagon,Manual,diesel,,236,opel,"150,000km",131,1994,"958,800 Rwf"
105,2011-03-12 17:48:17,SUV,Automatic,diesel,,213,bmw,"150,000km",235,2004,"192,600,000 Rwf"
106,2011-03-20 18:42:22,station wagon,Manual,diesel,,531,audi,"100,000km",177,2007,"216,358,800 Rwf"
107,2011-03-05 14:21:29,SUV,Automatic,diesel,,8,kia,"150,000km",197,2007,"145,020,000 Rwf"
108,2011-03-09 16:58:42,,,gasoline,,526,peugeot,"150,000km",0,1995,"360,000 Rwf"
109,2011-03-09 22:50:35,compact car,Manual,gasoline,Yes,14,opel,"150,000km",58,1998,"12,600,000 Rwf"
110,2011-03-18 13:06:16,sedan,Automatic,,,244,opel,"100,000km",115,1991,"1,080,000 Rwf"
111,2011-03-23 10:57:20,compact car,Manual,gasoline,,27,opel,"125,000km",90,2002,"48,900,000 Rwf"
112,2011-04-02 00:55:53,,,,,917,sonstige_autos,"100,000km",0,1995,"600,000 Rwf"
113,2011-03-09 11:25:23,sedan,Manual,gasoline,,230,ford,"150,000km",116,1994,"12,720,000 Rwf"
114,2011-04-04 11:48:57,convertible,Manual,gasoline,,783,bmw,"70,000km",204,2006,"216,960,000 Rwf"
115,2011-03-26 12:56:08,van,Manual,diesel,,675,citroen,"60,000km",111,2006,"109,020,000 Rwf"
116,2011-03-27 20:53:07,convertible,Automatic,gasoline,,591,mercedes_benz,"150,000km",136,1991,"168,600,000 Rwf"
117,2011-03-28 03:36:22,,Manual,gasoline,,206,opel,"150,000km",0,2011,"12,000,000 Rwf"
118,2011-03-28 16:54:57,Other,Manual,LPG,,919,mercedes_benz,"150,000km",136,1993,"25,198,800 Rwf"
119,2011-04-04 15:53:27,sedan,Manual,gasoline,Yes,202,audi,"150,000km",116,1989,"720,000 Rwf"
120,2011-03-21 10:54:53,station wagon,Manual,diesel,,466,bmw,"150,000km",136,1996,"12,240,000 Rwf"
121,2011-03-24 15:43:41,sedan,Automatic,diesel,,669,mercedes_benz,"125,000km",150,2000,"121,197,600 Rwf"
122,2011-03-07 18:44:30,sedan,Manual,gasoline,,140,audi,"150,000km",125,1992,"12,960,000 Rwf"
123,2011-03-15 22:50:48,,Manual,,,104,ford,"150,000km",109,2011,"24,960,000 Rwf"
124,2011-04-03 11:37:18,van,Automatic,diesel,,11,ford,"150,000km",140,2003,"121,188,000 Rwf"
125,2011-04-03 11:36:21,compact car,Manual,gasoline,,226,volkswagen,"150,000km",75,1993,"12,780,000 Rwf"
126,2011-03-16 20:39:56,station wagon,Manual,gasoline,Yes,214,volkswagen,"150,000km",101,1993,"696,000 Rwf"
127,2011-03-14 20:38:15,compact car,Manual,gasoline,,517,nissan,"150,000km",82,1996,"12,238,800 Rwf"
128,2011-03-05 19:45:02,compact car,Automatic,gasoline,,521,audi,"20,000km",185,2009,"253,198,800 Rwf"
129,2011-04-02 14:39:36,SUV,Automatic,gasoline,,450,bmw,"150,000km",231,1999,"144,000,000 Rwf"
130,2011-03-31 01:58:28,SUV,Manual,diesel,,96,mazda,"125,000km",173,2004,"144,960,000 Rwf"
131,2011-03-15 17:38:54,station wagon,Manual,LPG,Yes,54,opel,"150,000km",116,1992,"540,000 Rwf"
132,2011-03-27 14:42:27,compact car,Manual,LPG,,67,suzuki,"150,000km",92,2000,"48,600,000 Rwf"
133,2011-03-25 08:37:02,sedan,Automatic,diesel,,575,audi,"150,000km",190,2002,"145,188,000 Rwf"
134,2011-03-23 19:49:39,SUV,Manual,gasoline,,447,volkswagen,"40,000km",150,2004,"156,000,000 Rwf"
135,2011-03-22 15:41:35,sedan,Manual,gasoline,,160,opel,"150,000km",75,1994,"780,000 Rwf"
136,2011-03-08 21:45:54,,Manual,gasoline,,33,mitsubishi,"150,000km",75,2011,"720,000 Rwf"
137,2011-03-05 19:51:53,,Manual,,,270,volkswagen,"150,000km",200,2000,"72,838,800 Rwf"
138,2011-04-02 11:48:02,SUV,,,,644,volvo,"100,000km",0,1951,0 Rwf
139,2011-03-17 20:58:24,,Manual,,,304,volkswagen,"150,000km",150,2012,"36,900,000 Rwf"
140,2011-03-22 12:47:31,station wagon,Manual,,,974,volkswagen,"5,000km",74,1991,"1,140,000 Rwf"
141,2011-03-22 09:53:37,other,Manual,diesel,,916,mercedes_benz,"150,000km",110,1998,"36,360,000 Rwf"
142,2011-03-22 11:36:36,sedan,Manual,gasoline,,444,volkswagen,"150,000km",75,1995,"12,360,000 Rwf"
143,2011-03-27 22:06:23,station wagon,Manual,gasoline,,441,peugeot,"125,000km",109,2000,"25,080,000 Rwf"
144,2011-03-25 12:39:53,Other,Manual,gasoline,,438,volkswagen,"150,000km",95,1987,"24,660,000 Rwf"
145,2011-03-11 17:45:08,sedan,Manual,gasoline,,42,opel,"150,000km",101,1993,"12,358,800 Rwf"
146,2011-03-22 18:42:27,van,Automatic,diesel,,133,mercedes_benz,"150,000km",109,1998,"72,000,000 Rwf"
147,2011-03-10 12:06:33,compact car,Manual,gasoline,Yes,656,peugeot,"150,000km",109,1997,"1,140,000 Rwf"
148,2011-04-03 11:41:07,sedan,Manual,gasoline,,13,opel,"150,000km",54,1995,"180,000 Rwf"
149,2011-03-08 21:47:00,convertible,Manual,gasoline,,433,mazda,"90,000km",110,1995,"49,080,000 Rwf"
150,2011-03-13 00:57:31,compact car,Manual,gasoline,,458,seat,"150,000km",60,1996,"12,180,000 Rwf"
151,2011-03-22 14:56:32,station wagon,Manual,gasoline,,935,opel,"150,000km",116,1993,"708,000 Rwf"
152,2011-03-21 13:55:40,sedan,Automatic,gasoline,,47,audi,"70,000km",110,2004,"132,000,000 Rwf"
153,2011-03-31 17:44:27,sedan,Manual,diesel,,553,audi,"150,000km",140,1999,"84,540,000 Rwf"
154,2011-03-10 09:57:10,van,Manual,diesel,,431,ford,"150,000km",131,2000,"72,720,000 Rwf"
155,2011-03-08 21:54:25,van,Automatic,diesel,,167,renault,"150,000km",150,2000,"36,120,000 Rwf"
156,2011-03-30 19:48:44,sedan,,diesel,Yes,881,mercedes_benz,"150,000km",95,1997,"12,180,000 Rwf"
157,2011-03-31 18:43:42,van,Manual,gasoline,,559,renault,"150,000km",90,1994,"540,000 Rwf"
158,2011-03-24 09:51:31,sedan,Automatic,gasoline,,26,opel,"150,000km",101,1993,"1,198,800 Rwf"
159,2011-03-05 21:49:41,compact car,Manual,gasoline,,93,ford,"150,000km",60,2000,"540,000 Rwf"
160,2011-03-11 11:51:20,sedan,Automatic,diesel,,195,volkswagen,"150,000km",110,1994,"12,240,000 Rwf"
161,2011-03-22 15:56:24,compact car,Manual,gasoline,,313,opel,"150,000km",150,2004,"84,598,800 Rwf"
162,2011-04-01 22:55:15,station wagon,Manual,gasoline,,729,opel,"150,000km",147,1996,"840,000 Rwf"
163,2011-03-15 21:49:23,station wagon,Manual,gasoline,,730,mitsubishi,"150,000km",81,1995,"838,800 Rwf"
164,2011-03-17 11:50:22,compact car,Manual,LPG,,186,opel,"150,000km",80,2002,"36,180,000 Rwf"
165,2011-03-19 17:48:55,station wagon,Automatic,diesel,,469,bmw,"150,000km",177,2003,"132,240,000 Rwf"
166,2011-03-22 00:51:35,station wagon,Manual,diesel,,920,volkswagen,"150,000km",101,2000,"24,348,000 Rwf"
167,2011-03-22 07:00:37,sedan,Automatic,gasoline,,544,mercedes_benz,"150,000km",225,1994,"48,958,800 Rwf"
168,2011-03-10 08:54:46,station wagon,Automatic,diesel,,921,audi,"150,000km",204,2007,"229,197,600 Rwf"
169,2011-04-01 09:56:46,station wagon,Manual,diesel,,204,peugeot,"150,000km",107,1998,"13,198,800 Rwf"
170,2011-04-05 11:53:29,sedan,Automatic,diesel,,247,mercedes_benz,"150,000km",122,1999,"36,838,800 Rwf"
171,2011-03-26 14:52:55,sedan,Automatic,diesel,Yes,795,bmw,"125,000km",286,2006,"277,080,000 Rwf"
172,2011-03-18 22:47:32,Other,Manual,gasoline,Yes,198,bmw,"150,000km",102,1994,"600,000 Rwf"
173,2011-03-21 20:38:33,Other,Manual,gasoline,,151,ford,"5,000km",125,1997,"660,000 Rwf"
174,2011-04-04 07:54:37,sedan,Manual,gasoline,,352,bmw,"150,000km",150,1990,"25,020,000 Rwf"
175,2011-03-10 20:36:25,,Manual,gasoline,,326,volkswagen,"150,000km",102,2012,"48,180,000 Rwf"
176,2011-03-11 17:39:31,sedan,Manual,gasoline,Yes,519,volkswagen,"150,000km",101,1993,"12,000,000 Rwf"
177,2011-03-07 03:38:14,station wagon,Manual,gasoline,,356,volkswagen,"150,000km",90,1991,"12,060,000 Rwf"
178,2011-03-08 16:56:05,sedan,Automatic,diesel,,17,opel,"100,000km",160,2005,"72,000,000 Rwf"
179,2011-04-03 20:59:59,sedan,Manual,gasoline,,289,volkswagen,"150,000km",120,1996,0 Rwf
180,2011-03-13 00:50:23,sedan,Manual,gasoline,,349,honda,"40,000km",140,2006,"121,198,800 Rwf"
181,2011-03-15 15:49:23,sedan,Automatic,gasoline,,347,mercedes_benz,"125,000km",517,2005,"505,080,000 Rwf"
182,2011-03-25 09:57:03,,Manual,gasoline,,922,ford,"70,000km",50,2012,"900,000 Rwf"
183,2011-03-19 14:57:19,convertible,Manual,gasoline,,469,porsche,"20,000km",315,2007,"625,080,000 Rwf"
184,2011-04-03 16:42:49,station wagon,Manual,gasoline,Yes,902,audi,"125,000km",101,1993,"24,000,000 Rwf"
185,2011-03-31 19:54:44,sedan,Manual,gasoline,,922,opel,"100,000km",105,2000,"37,020,000 Rwf"
186,2011-03-08 07:55:41,,,,,453,renault,"70,000km",0,2011,"72,540,000 Rwf"
187,2011-03-22 13:56:33,sedan,Automatic,gasoline,,258,audi,"150,000km",101,1991,"12,600,000 Rwf"
188,2011-03-30 13:06:26,station wagon,Manual,diesel,,75,bmw,"150,000km",184,2007,"241,080,000 Rwf"
189,2011-03-07 09:52:15,sedan,Manual,gasoline,,710,sonstige_autos,"150,000km",58,1985,"780,000 Rwf"
190,2011-03-14 21:41:36,station wagon,Manual,gasoline,Yes,528,opel,"150,000km",136,1993,0 Rwf
191,2011-03-16 18:38:35,sedan,Manual,diesel,,529,volkswagen,"150,000km",105,1999,"60,358,800 Rwf"
192,2011-03-26 15:50:23,Other,Manual,gasoline,,144,audi,"150,000km",370,1994,"144,600,000 Rwf"
193,2011-03-06 21:38:00,,,gasoline,,251,audi,"150,000km",0,1980,"180,000 Rwf"
194,2011-03-05 20:57:20,sedan,Manual,diesel,,553,nissan,"70,000km",131,2007,"168,588,000 Rwf"
195,2011-03-15 18:49:01,van,Automatic,diesel,Yes,533,kia,"150,000km",0,1999,"12,960,000 Rwf"
196,2011-03-08 18:37:37,sedan,Manual,gasoline,,60,opel,"20,000km",0,1996,"24,780,000 Rwf"
197,2011-03-17 17:49:53,SUV,Automatic,diesel,,629,mercedes_benz,"90,000km",163,2000,"132,600,000 Rwf"
198,2011-04-02 14:51:14,van,Manual,diesel,,13,volkswagen,"150,000km",131,2003,"192,960,000 Rwf"
199,2011-03-28 08:53:58,other,Manual,diesel,,746,seat,"150,000km",64,1997,0 Rwf
200,2011-03-29 13:50:27,sedan,Automatic,diesel,,413,bmw,"150,000km",231,2001,"169,176,000 Rwf"
201,2011-04-04 16:55:12,SUV,Manual,gasoline,,879,suzuki,"150,000km",80,1989,"24,600,000 Rwf"
202,2011-03-22 13:54:57,compact car,Manual,,,811,renault,"125,000km",58,1993,"360,000 Rwf"
203,2011-03-26 17:58:28,compact car,Manual,gasoline,,139,volkswagen,"150,000km",60,1995,"1,020,000 Rwf"
204,2011-03-22 14:25:25,convertible,Manual,gasoline,,398,audi,"125,000km",125,1993,"72,588,000 Rwf"
205,2011-03-28 11:50:58,compact car,Automatic,gasoline,,128,honda,"125,000km",83,1997,"24,600,000 Rwf"
206,2011-03-11 22:57:18,compact car,Manual,gasoline,,229,opel,"150,000km",71,1989,"600,000 Rwf"
207,2011-03-21 00:58:46,sedan,Manual,gasoline,,863,bmw,"150,000km",170,1993,"12,118,800 Rwf"
208,2011-03-22 18:50:53,,Automatic,,Yes,673,bmw,"150,000km",184,2012,"48,360,000 Rwf"
209,2011-03-11 19:40:13,sedan,Manual,gasoline,,783,mazda,"150,000km",115,1992,"12,600,000 Rwf"
210,2011-03-25 21:39:53,compact car,Manual,gasoline,,731,ford,"150,000km",0,1999,"780,000 Rwf"
211,2011-03-10 17:44:57,,Manual,,,459,peugeot,"150,000km",90,2012,"12,478,800 Rwf"
212,2011-04-03 12:46:29,convertible,Manual,gasoline,,291,mini,"20,000km",184,2008,"276,600,000 Rwf"
213,2011-04-03 16:47:13,sedan,Manual,gasoline,,200,opel,"40,000km",125,2001,"60,598,800 Rwf"
214,2011-03-07 04:57:26,station wagon,Manual,gasoline,,407,mercedes_benz,"125,000km",163,1998,"61,140,000 Rwf"
215,2011-03-24 15:37:22,van,Manual,diesel,,232,ford,"60,000km",140,2008,"216,718,800 Rwf"
216,2011-03-30 19:43:27,van,Manual,gasoline,,430,opel,"125,000km",147,1998,"36,900,000 Rwf"
217,2011-03-29 20:53:38,station wagon,Manual,gasoline,,619,bmw,"150,000km",192,1996,"24,598,800 Rwf"
218,2011-03-18 20:36:47,compact car,Manual,gasoline,,801,opel,"100,000km",102,1998,"24,240,000 Rwf"
219,2011-03-27 16:48:21,van,,gasoline,,283,volkswagen,"150,000km",150,1996,"24,840,000 Rwf"
220,2011-04-01 20:39:15,sedan,Automatic,gasoline,,409,toyota,"125,000km",110,1998,"37,068,000 Rwf"
221,2011-03-09 11:55:16,convertible,Manual,gasoline,,722,volkswagen,"150,000km",75,1992,"12,120,000 Rwf"
222,2011-04-03 00:56:13,van,Manual,diesel,,900,volkswagen,"150,000km",68,1991,"36,120,000 Rwf"
223,2011-03-31 11:57:46,,Automatic,,,677,volkswagen,"150,000km",313,2012,"84,360,000 Rwf"
224,2011-04-03 09:36:58,sedan,Manual,gasoline,,64,volkswagen,"80,000km",75,1989,"300,000 Rwf"
225,2011-03-17 16:55:22,station wagon,Manual,diesel,,416,volkswagen,"150,000km",140,2000,"36,300,000 Rwf"
226,2011-03-12 23:52:02,van,Automatic,diesel,,607,volkswagen,"150,000km",174,2002,"192,600,000 Rwf"
227,2011-03-22 15:48:49,,Manual,diesel,,140,volvo,"150,000km",0,2000,"25,188,000 Rwf"
228,2011-03-20 12:55:19,sedan,Manual,gasoline,Yes,26,ford,"150,000km",75,1994,"718,800 Rwf"
229,2011-04-04 07:01:15,compact car,Manual,gasoline,,490,ford,"90,000km",50,1992,"1,188,000 Rwf"
230,2011-03-28 23:52:49,compact car,,gasoline,,606,fiat,"150,000km",0,1992,"300,000 Rwf"
231,2011-03-24 13:31:31,station wagon,Manual,diesel,,85,nissan,"150,000km",0,1997,"718,800 Rwf"
232,2011-03-11 12:53:17,convertible,Manual,gasoline,,492,volkswagen,"150,000km",110,1996,"36,540,000 Rwf"
233,2011-03-24 10:56:50,station wagon,Manual,,,603,opel,"150,000km",95,1995,"480,000 Rwf"
234,2011-03-28 16:57:52,compact car,Manual,gasoline,,214,dacia,"60,000km",75,2004,"24,600,000 Rwf"
235,2011-03-26 15:51:41,station wagon,Manual,gasoline,,514,ford,"150,000km",116,1994,"840,000 Rwf"
236,2011-03-05 14:19:05,sedan,Manual,gasoline,,373,audi,"125,000km",150,2000,"96,598,800 Rwf"
237,2011-03-11 17:50:59,van,Manual,diesel,,620,volkswagen,"150,000km",136,1998,"48,478,800 Rwf"
238,2011-04-05 09:45:33,station wagon,Manual,gasoline,,69,ford,"150,000km",0,1992,"660,000 Rwf"
